,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how
7169,LEVINSON'S BAKERY,-87.70180500000001,41.997559,2856 W Devon Ave,,Chicago,IL,60659,1513.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7170,SCHNUCKS SANGAMON 718,-89.630066,39.831139,1911 E Sangamon Ave,,Springfield,IL,62702,1206.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7171,Casey's General Store 1671,-88.241692,39.272758,314 E Main St,,Toledo,IL,62468,1340.0,CUMBERLAND,0,0,0.0,0.0,0,0.0,0,0
7172,Walmart Supercenter 2491,-87.630379,40.201958000000005,4101 N Vermilion St,Ste A,Danville,IL,61834,5998.0,VERMILION,0,0,0.0,0.0,0,0.0,0,0
7173,Casey's General Store 1913,-89.05475600000001,39.930099,150 S State Route 121,,Warrensburg,IL,62573,9631.0,MACON,0,0,0.0,0.0,0,0.0,0,0
7174,Jewel 3013,-88.121635,41.70348,1200 W Boughton Rd,,Bolingbrook,IL,60440,6568.0,WILL,0,0,0.0,0.0,0,0.0,0,0
7175,LA COXCATECA,-88.837868,41.115704,508 Wall St,,Streator,IL,61364,2844.0,LA SALLE,0,0,0.0,0.0,0,0.0,0,0
7176,Jewel 3103,-87.80100999999999,41.818497,7122 W 40th St,,Stickney,IL,60402,,COOK,0,0,0.0,0.0,0,0.0,0,0
7177,ANNAWAN HOMETOWN MARKET,-89.908897,41.397690000000004,322 W Front St,,Annawan,IL,61234,7758.0,HENRY,0,0,0.0,0.0,0,0.0,0,0
7178,Walgreens 04504,-90.384254,40.962265,844 W Fremont St,,Galesburg,IL,61401,2509.0,KNOX,0,0,0.0,0.0,0,0.0,0,0
7179,Casey's General Store 1929,-90.33500699999999,41.608565999999996,302 N High St,,Port Byron,IL,61275,9582.0,ROCK ISLAND,0,0,0.0,0.0,0,0.0,0,0
7180,WALGREENS  3559,-89.667015,41.802025,2506 E Lincolnway,,Sterling,IL,61081,3052.0,WHITESIDE,0,0,0.0,0.0,0,0.0,0,0
7181,Casey's General Store 1871,-89.122383,38.5271,908 E Noleman St,,Centralia,IL,62801,3338.0,MARION,0,0,0.0,0.0,0,0.0,0,0
7182,DAN'S MEAT MARKET,-89.13711500000001,38.514927,1217 S Locust St,,Centralia,IL,62801,4711.0,MARION,0,0,0.0,0.0,0,0.0,0,0
7183,Casey's General Store 1902,-89.749832,39.597671999999996,820 Lincoln St,,Auburn,IL,62615,9770.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7184,Casey's General Store 1909,-88.912651,37.898087,1305 E Main St,,W Frankfort,IL,62896,1507.0,FRANKLIN,0,0,0.0,0.0,0,0.0,0,0
7185,Casey's General Store 1891,-89.348816,37.764381,2136 Walnut St,,Murphysboro,IL,62966,1914.0,JACKSON,0,0,0.0,0.0,0,0.0,0,0
7186,GORDON FOOD SERVICE  MP63,-87.560905,41.581078000000005,2330 173rd St,,Lansing,IL,60438,6006.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7187,SUPERMERCADO LA CHIQUITA #4,-87.724457,41.843853,2623 S Pulaski Rd,,Chicago,IL,60623,4410.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7188,CONVENIENT FOOD STORE,-88.061646,41.918346,1599 Glen Ellyn Rd,,Glendale Hts,IL,60139,2501.0,DU PAGE,0,0,0.0,0.0,0,0.0,0,0
7189,Rock River Convenience Store,-89.090897,42.261565999999995,360 College Ave,,Rockford,IL,61104,2922.0,WINNEBAGO,0,0,0.0,0.0,0,0.0,0,0
7190,Casey's General Store 1880,-89.223076,41.257545,412 E Harper Ave,,Granville,IL,61326,9730.0,PUTNAM,0,0,0.0,0.0,0,0.0,0,0
7191,Casey's General Store 1917,-89.100143,38.974205,1310 N 8th St,,Vandalia,IL,62471,1205.0,FAYETTE,0,0,0.0,0.0,0,0.0,0,0
7192,Lupita Supermarket Meat & Grocery Inc,-89.065002,41.922428000000004,409 N Main St,,Rochelle,IL,61068,2600.0,OGLE,0,0,0.0,0.0,0,0.0,0,0
7193,STELLA'S CENTRAL FOODS,-87.736458,41.920589,2156 N Kostner Ave,,Chicago,IL,60639,3530.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7194,Jewel 3154,-87.87831899999999,41.788647,5545 S Brainard Ave,,Countryside,IL,60525,3542.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7195,SAVE-A-LOT,-89.0952,41.335983,802 Joliet St,,La Salle,IL,61301,1860.0,LA SALLE,0,0,0.0,0.0,0,0.0,0,0
7196,Leamington Food Inc,-87.88329300000001,41.881031,550 N Mannheim Rd,,Hillside,IL,60162,1121.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7197,Casey's General Store 1903,-88.808739,39.398853,1700 W Main,,Shelbyville,IL,62565,,SHELBY,0,0,0.0,0.0,0,0.0,0,0
7198,Casey's General Store 1882,-87.687325,40.465908,1022 W Penn St,,Hoopeston,IL,60942,1052.0,VERMILION,0,0,0.0,0.0,0,0.0,0,0
7199,Casey's General Store 1978,-88.721024,41.334911,850 W Bluff St,,Marseilles,IL,61341,1342.0,LA SALLE,0,0,0.0,0.0,0,0.0,0,0
7200,Jewel 3060,-87.74137900000001,41.748501,7910 S Cicero Ave,,Burbank,IL,60459,1507.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7201,Casey's General Store 1980,-88.225235,41.431606,25258 W Eames St,,Channahon,IL,60410,5052.0,WILL,0,0,0.0,0.0,0,0.0,0,0
7202,Casey's General Store 1937,-89.401756,38.900555,990 E Beaumont Ave,,Greenville,IL,62246,1248.0,BOND,0,0,0.0,0.0,0,0.0,0,0
7203,CAPUTO'S NEW FARM PRODUCE,-87.80635799999999,41.924049,2400 N Harlem Ave,,Elmwood Park,IL,60707,2048.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7204,CAPUTOS NEW FARM PRODUCE,-88.135071,41.979153000000004,1250 E Lake St,,Hanover Park,IL,60133,5423.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7205,Casey's General Store 1984,-88.21270799999999,41.264687,280 E Main St,,Braidwood,IL,60408,1914.0,WILL,0,0,0.0,0.0,0,0.0,0,0
7206,Casey's General Store 1888,-89.955185,39.590759000000006,241 W Elm St,,Waverly,IL,62692,,MORGAN,0,0,0.0,0.0,0,0.0,0,0
7207,Casey's 1983,-88.420517,41.097698,311 N Union,,Dwight,IL,60420,,LIVINGSTON,0,0,0.0,0.0,0,0.0,0,0
7208,Casey's General Store 1981,-88.255135,41.288467,2040 E Division St,,Diamond,IL,60416,9499.0,GRUNDY,0,0,0.0,0.0,0,0.0,0,0
7209,Casey's General Store 1878,-88.162979,39.480381,1900 18th St,,Charleston,IL,61920,3611.0,COLES,0,0,0.0,0.0,0,0.0,0,0
7210,SAVE-A-LOT 480,-89.689423,41.772881,1004 1st Ave,,Rock Falls,IL,61071,1629.0,WHITESIDE,0,0,0.0,0.0,0,0.0,0,0
7211,Kwik Mart,-87.687065,41.939499,2336 W Belmont Ave,,Chicago,IL,60618,6423.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7212,ALDI  77,-87.794197,41.597649,16150 Harlem Ave,,Tinley Park,IL,60477,1614.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7213,Walgreens 03901,-89.64843,39.762547,2945 S 6th St,,Springfield,IL,62703,4024.0,SANGAMON,0,0,0.0,0.0,0,0.0,0,0
7214,SCHWEGEL'S,-90.18341099999999,38.896366,901 Alby St,,Alton,IL,62002,2548.0,MADISON,0,0,0.0,0.0,0,0.0,0,0
7215,Walgreens 03950,-87.70818299999999,41.960541,4343 N Kedzie Ave,,Chicago,IL,60618,1301.0,COOK,0,0,0.0,0.0,0,0.0,0,0
7216,WALGREENS  03949,-87.649254,41.937538,3046 N Halsted St,,Chicago,IL,60657,5120.0,COOK,0,0,0.0,0.0,0,0.0,0,0
