,index,Unnamed: 0,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Double Value,Farmers Market?,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how,check,type
34,5192,5192,PARKWAY SUPER MARKET INC,-87.615494,41.777775,6435 S King Dr,,Chicago,IL,60637.0,3116.0,COOK,False,False,ChIJcbBUWyopDogRokmLRRQwLiY,Parkway Supermarket,41.7773492,-87.6154054,"6435 South King Drive, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
35,5466,5466,CARNITAS Y SUPERMERCARDO ELGIGANTE,-87.756271,41.925976,2500 N Laramie Ave,,Chicago,IL,60639.0,2422.0,COOK,False,False,ChIJa18lMe3MD4gRSJ1P6Jal9Mw,Carnitas Y Supermercado El Gigante,41.926131,-87.756686,"2500 North Laramie Avenue, Chicago",,1,address first word,Double Check- invalid type,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
36,5542,5542,DIANA'S FOOD & RESTAURANT,-87.699287,41.899387,1000 N Francisco Ave,,Chicago,IL,60622.0,2749.0,COOK,False,False,ChIJ7ZGfqFXND4gRYI7KFSxZRhA,Diana's Food & Restaurant,41.899385,-87.69945299999999,"1000 North Francisco Avenue, Chicago",1.0,1,name 1 and address 1 (more than one first) ,Double Check- invalid type,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
37,5665,5665,WEST TOWN MOBIL,-87.724174,41.86623,3942 W Roosevelt Rd,,Chicago,IL,60624.0,4233.0,COOK,False,False,ChIJIZ7KNPAyDogRAR6A6s47CHQ,Shell,41.8664001,-87.72465539999999,"3942 West Roosevelt Road, Chicago",2.0,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
38,5685,5685,PETE'S FRESH MARKET,-87.536911,41.680984,3554 E 118th St,,Chicago,IL,60617.0,7314.0,COOK,False,False,ChIJkW0-kZ3YEYgRomx0QqNqI7U,Pete's Fresh Market,41.6820757,-87.53881559999999,"3448 118th Street, Chicago",2.0,1,name first word,Double Check- Address mismatch,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
39,5869,5869,ALBANY FOOD LIQUORS INC,-87.703423,41.924812,3048 W Fullerton Ave,,Chicago,IL,60647.0,2808.0,COOK,False,False,ChIJyQeo5WTND4gRNYo_ozpV2Cw,Albany Food & Liquor,41.924931,-87.70440599999999,"3048 West Fullerton Avenue, Chicago",,1,address first word,0,"['liquor_store', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
40,5871,5871,CITGO FOOD MART,-87.605408,41.707397,721 E 103rd St,,Chicago,IL,60628.0,1619.0,COOK,False,False,ChIJK7neEm8mDogRlxB8kmawmyQ,103RD CITGO,41.7072291,-87.6055385,"721 East 103rd Street, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
41,5942,5942,SUGARS PLUS,-87.61308299999997,41.809425,525 E 47th St,,Chicago,IL,60653.0,4207.0,COOK,False,False,ChIJt5GNQlEpDogROsq7eo6tgJM,Sugars Plus Inc,41.8093167,-87.6127879,"525 East 47th Street, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
42,6372,6372,Walgreens 5124,-87.604919,41.737389,8658 S Cottage Grove Ave,,Chicago,IL,60619.0,,COOK,False,False,ChIJIxvsPKcoDogR7hC4QYyT0hs,Walgreens,41.7378844,-87.6056006,"8628 South Cottage Grove Avenue, Chicago",2.0,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
43,6526,6526,ENDY'S DELI,-87.719818,41.936707,3055 N Milwaukee Ave,,Chicago,IL,60618.0,6612.0,COOK,False,False,ChIJ7d3Jf6DND4gRpAhlji29oyA,Endy's Deli,41.9367703,-87.71975180000001,"3055 North Milwaukee Avenue, Chicago",1.0,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
44,6558,6558,SAVEWAY FOOD,-87.61927,41.81655900000001,313 E 43rd St,,Chicago,IL,60653.0,3312.0,COOK,False,False,ChIJl-_xEQAsDogR5YhnUPgKqnc,Safeway,41.81639630000001,-87.61930029999999,"313 East 43rd Street, Chicago",2.0,1,name first word,0,"['grocery_or_supermarket', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
45,6706,6706,HAPPY FOODS,-87.763542,41.99799,6415 N Central Ave,,Chicago,IL,60646.0,2901.0,COOK,False,False,ChIJKWrsa8fOD4gRzqnt1ZGIZqM,Happy Foods Inc,41.9980422,-87.7634042,"6415 North Central Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
46,7076,7076,MACIAS PRODUCE INC,-87.551247,41.73312,8933 S Commercial Ave,,Chicago,IL,60617.0,3202.0,COOK,False,False,ChIJE17d5uInDogRpe00UDnUU3w,Macias Produce,41.73264,-87.5509019,"8933 South Commercial Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
47,7196,7196,HAPPY FOODS,-87.818474,42.004276,6783 N Northwest Hwy,,Chicago,IL,60631.0,1264.0,COOK,False,False,ChIJ7xfH3abJD4gREN1iOTZQE7A,Happy Foods,42.0045836,-87.8184459,"6783 North Northwest Highway, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
48,8609,8609,PANADERIA CORAL INC,-87.720024,41.844303,3807 W 26th St,,Chicago,IL,60623.0,3808.0,COOK,False,False,ChIJs2kVs0MyDogRnM-bSSja10Q,Panaderia Coral,41.8441773,-87.7199953,"3807 West 26th Street, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['cafe', 'food', 'point_of_interest', 'establishment']"
49,8908,8908,ANGEL OIL CORPORATION,-87.621185,41.765659,130 E 71st St,,Chicago,IL,60619.0,1002.0,COOK,False,False,ChIJA2KznDIvDogR4Id6F1WOyeo,Mobil,41.765823,-87.6205276,"130 East 71st Street, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
50,8920,8920,CVS 5989,-87.665184,41.786785,1620 W 59th St,,Chicago,IL,60636.0,1735.0,COOK,False,False,ChIJT45Tf1ouDogRlNuUTpD-y68,CVS,41.78707730000001,-87.6654066,"1620 West 59th Street, Chicago",,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
51,8921,8921,CVS 7125,-87.68418100000002,41.79612,5360 S Western Ave,,Chicago,IL,60609.0,5435.0,COOK,False,False,ChIJV5p3lT0uDogRNaatuxHxqeo,CVS,41.7959043,-87.68445899999999,"5360 South Western Avenue, Chicago",,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
52,9126,9126,Target Store 1889,-87.630585,41.869282,1154 S Clark St,,Chicago,IL,60605.0,2159.0,COOK,False,False,ChIJQcCKTZAsDogR9NzUWzVg1k4,Target,41.86758750000001,-87.6310012,"1154 South Clark Street, Chicago",2.0,4,name 1 and address 1 (more than one first) ,0,"['department_store', 'electronics_store', 'grocery_or_supermarket', 'food', 'clothing_store', 'furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
53,9127,9127,Target Store 1924,-87.788651,41.930904,6525 W Diversey Ave,,Chicago,IL,60707.0,2312.0,COOK,False,False,ChIJB1aQAXHLD4gRQHyD2pxV88I,Target,41.93009869999999,-87.7897457,"6525 West Diversey Avenue, Chicago",2.0,3,name 1 and address 1 (more than one first) ,0,"['department_store', 'electronics_store', 'grocery_or_supermarket', 'food', 'clothing_store', 'furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
54,9245,9245,BK CONVENIENT,-87.84639,41.97826,5441 N East River Rd,,Chicago,IL,60656.0,1199.0,COOK,False,False,ChIJz8VHWh3KD4gR-cLQdOufFSk,B K Corner Store Inc,41.9783386,-87.8434999,"5431 North East River Road, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
55,9263,9263,Aldi 47,-87.663055,41.80865900000001,1508 W 47th St,,Chicago,IL,60609.0,3236.0,COOK,False,False,ChIJFRUFfnsuDogRXW-FFtP9oaU,ALDI,41.80941000000001,-87.6628807,"1508 West 47th Street, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
56,9449,9449,Walgreens 00226,-87.724777,41.844219,4005 W 26th St,,Chicago,IL,60623.0,3709.0,COOK,False,False,ChIJtQBmsUUyDogRFvfifsKB0tE,Walgreens,41.844099,-87.72479899999999,"4005 West 26th Street, Chicago",2.0,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
57,9454,9454,Walgreens 09001,-87.630875,41.885357,191 N Clark St,,Chicago,IL,60601.0,6232.0,COOK,False,False,ChIJB6OGxrksDogRXl4O7y7jPns,Walgreens,41.88559799999999,-87.6308016,"191 North Clark Street, Chicago",2.0,4,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
58,9665,9665,A & N FOOD INC,-87.711761,41.91201,1700 N Kimball Ave,,Chicago,IL,60647.0,4806.0,COOK,False,False,ChIJ7cv00DwsDogRAMDACa2m4K8,Chicago,41.8781136,-87.6297982,Chicago,,20,"name second word, >1 results",Double Check- Many results,"['locality', 'political']"
59,9666,9666,Family Foods Inc,-87.710014,41.849762,2301 S Homan Ave,,Chicago,IL,60623.0,3219.0,COOK,False,False,ChIJj7pBjnoyDogRjlniwJxmoa4,Catholic Charities,41.84791939999999,-87.7054794,"2400 South Kedzie Avenue, Chicago",,1,name first word,0,"['point_of_interest', 'establishment']"
